text,label
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, AlexThanks!",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
Sent from Outlook.",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev TeamThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, AlexThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev TeamThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev TeamThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, AlexThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev TeamThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev TeamThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
Sent from Outlook.",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, AlexThanks!",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, AlexThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, AlexThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, AlexThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, AlexThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, AlexThanks!",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, John
2024-10-01",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
2024-10-01",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev TeamThanks!",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
Sent from Outlook.",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev TeamThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Subject: Code review
Please check PR #123. Feedback appreciated.
- Dev Team
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, MikeThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, SarahThanks!",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike
Sent from Outlook.",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, AlexThanks!",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
2024-10-01",ham
"Hello,
Please review the budget proposal before Friday.
Thanks, Mike",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
Sent from Outlook.",ham
"Hi,
Quick check-in on Q3 sales figures. Numbers look good.
Regards, Sarah
Sent from Outlook.",ham
"Subject: Meeting tomorrow
Dear team,
Let's discuss the project update. See attached.
Best, JohnThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, AlexThanks!",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex",ham
"Good morning,
Reminder: Team lunch at 12pm. RSVP if needed.
Cheers, Alex
Sent from Outlook.",ham
